时间,车辆编号,往行1/复行0,站点号,前门0/后门1,上车人数,下车人数
2018/11/1 6:44,4924,0,8,1,0,1
2018/11/1 6:44,4928,1,16,0,1,1
2018/11/1 6:44,4909,1,1,1,1,97
2018/11/1 6:44,4911,1,13,0,11,0
2018/11/1 6:45,4911,1,13,1,0,1
2018/11/1 6:45,4921,0,1,0,24,2
2018/11/1 6:45,4921,0,1,1,0,2
2018/11/1 6:45,4909,1,1,0,95,8
2018/11/1 6:45,4937,1,1,0,0,0
2018/11/1 6:45,4909,1,1,1,0,0
2018/11/1 6:45,4937,1,1,1,2,100
2018/11/1 6:45,4919,1,19,0,0,1
2018/11/1 6:45,4923,1,2,0,20,0
2018/11/1 6:45,4919,1,19,1,0,7
2018/11/1 6:45,4910,0,2,0,4,0
2018/11/1 6:45,4910,0,2,1,0,0
2018/11/1 6:45,4914,1,9,0,5,1
2018/11/1 6:45,4914,1,9,1,0,0
2018/11/1 6:45,4920,1,14,0,0,0
2018/11/1 6:46,4911,1,14,0,0,0
2018/11/1 6:46,4911,1,14,1,0,0
2018/11/1 6:46,4913,0,10,0,0,0
2018/11/1 6:46,4930,0,5,0,0,0
2018/11/1 6:46,4913,0,10,1,0,0
2018/11/1 6:46,4930,0,5,1,0,0
2018/11/1 6:46,4933,0,18,0,9,0
2018/11/1 6:46,4918,1,23,0,0,0
2018/11/1 6:46,4918,1,23,1,0,2
2018/11/1 6:46,4914,1,10,0,4,0
2018/11/1 6:46,4914,1,10,1,0,4
2018/11/1 6:46,4923,1,3,0,11,0
2018/11/1 6:46,4923,1,3,1,0,0
2018/11/1 6:47,4913,0,11,0,0,0
2018/11/1 6:47,4913,0,11,1,0,1
2018/11/1 6:47,4919,1,20,0,0,0
2018/11/1 6:47,4911,1,15,0,3,0
2018/11/1 6:47,4919,1,20,1,0,3
2018/11/1 6:47,4911,1,15,1,0,0
2018/11/1 6:47,4937,1,2,0,0,0
2018/11/1 6:47,4937,1,2,1,0,0
2018/11/1 6:47,4921,0,2,0,5,0
2018/11/1 6:47,4921,0,2,1,0,0
2018/11/1 6:47,4928,1,17,0,2,0
2018/11/1 6:47,4929,0,16,0,3,0
2018/11/1 6:47,4928,1,17,1,0,16
2018/11/1 6:47,4929,0,16,1,0,0
2018/11/1 6:47,4930,0,6,0,3,1
2018/11/1 6:47,4910,0,3,0,1,0
2018/11/1 6:47,4910,0,3,1,0,0
2018/11/1 6:47,4930,0,6,1,0,0
2018/11/1 6:47,4919,1,21,0,0,0
2018/11/1 6:47,4919,1,21,1,0,0
2018/11/1 6:47,4933,0,19,0,3,0
2018/11/1 6:47,4933,0,19,1,0,12
2018/11/1 6:47,4934,1,4,0,9,0
2018/11/1 6:47,4934,1,4,1,0,0
2018/11/1 6:47,4914,1,11,0,0,0
2018/11/1 6:47,4914,1,11,1,1,2
2018/11/1 6:48,4929,0,17,0,4,0
2018/11/1 6:48,4929,0,17,1,0,0
2018/11/1 6:48,4924,0,9,0,7,0
2018/11/1 6:48,4924,0,9,1,0,1
2018/11/1 6:48,4913,0,12,0,5,0
2018/11/1 6:48,4913,0,12,1,0,1
2018/11/1 6:48,4937,1,3,0,0,0
2018/11/1 6:48,4937,1,3,1,0,1
2018/11/1 6:48,4934,1,5,0,0,0
2018/11/1 6:48,4934,1,5,1,0,0
2018/11/1 6:49,4938,1,1,0,27,7
2018/11/1 6:49,4918,0,1,0,1,1
2018/11/1 6:49,4923,1,4,0,4,0
2018/11/1 6:49,4923,1,4,1,0,6
2018/11/1 6:49,4910,0,4,0,7,0
2018/11/1 6:49,4910,0,4,1,0,0
2018/11/1 6:49,4914,1,12,0,6,1
2018/11/1 6:49,4914,1,12,1,0,5
2018/11/1 6:49,4928,1,18,0,0,0
2018/11/1 6:49,4911,1,16,0,2,0
2018/11/1 6:49,4911,1,16,1,0,16
2018/11/1 6:49,4928,1,18,1,0,9
2018/11/1 6:49,4933,0,21,0,1,0
2018/11/1 6:49,4934,1,6,0,0,0
2018/11/1 6:49,4933,0,21,1,0,2
2018/11/1 6:49,4934,1,6,1,0,0
2018/11/1 6:49,4930,0,7,0,7,0
2018/11/1 6:50,4921,0,3,0,1,0
2018/11/1 6:50,4923,1,5,0,0,0
2018/11/1 6:50,4913,0,13,0,4,0
2018/11/1 6:50,4921,0,3,1,0,0
2018/11/1 6:50,4913,0,13,1,0,4
2018/11/1 6:50,4917,1,1,0,1,1
2018/11/1 6:50,4929,0,18,0,3,0
2018/11/1 6:50,4937,1,4,0,0,0
2018/11/1 6:50,4937,1,4,1,0,1
2018/11/1 6:50,4938,1,2,0,0,0
2018/11/1 6:50,4938,1,2,1,0,0
2018/11/1 6:50,4923,1,6,0,2,1
2018/11/1 6:50,4910,0,5,0,2,0
2018/11/1 6:50,4919,1,22,0,4,1
2018/11/1 6:50,4923,1,6,1,0,6
2018/11/1 6:50,4910,0,5,1,0,0
2018/11/1 6:51,4919,1,22,1,1,13
2018/11/1 6:51,4916,0,1,0,31,1
2018/11/1 6:51,4916,0,1,1,0,0
2018/11/1 6:51,4924,0,10,0,6,1
2018/11/1 6:51,4924,0,10,1,0,1
2018/11/1 6:51,4913,0,14,0,2,0
2018/11/1 6:51,4913,0,14,1,0,10
2018/11/1 6:51,4929,0,19,0,0,0
2018/11/1 6:51,4929,0,19,1,0,0
2018/11/1 6:51,4910,0,6,0,0,0
2018/11/1 6:51,4930,0,8,0,10,0
2018/11/1 6:51,4911,1,17,0,0,0
2018/11/1 6:51,4911,1,17,1,0,3
2018/11/1 6:51,4928,1,19,0,1,1
2018/11/1 6:52,4921,0,4,0,3,1
2018/11/1 6:52,4928,1,19,1,0,4
2018/11/1 6:52,4921,0,4,1,0,0
2018/11/1 6:52,4937,1,5,0,0,0
2018/11/1 6:52,4937,1,5,1,0,1
2018/11/1 6:52,4938,1,3,0,15,0
2018/11/1 6:52,4933,0,22,0,5,0
2018/11/1 6:52,4938,1,3,1,0,0
2018/11/1 6:52,4933,0,22,1,0,35
2018/11/1 6:52,4934,1,7,0,3,0
2018/11/1 6:52,4934,1,7,1,0,0
2018/11/1 6:52,4916,0,2,0,3,1
2018/11/1 6:52,4923,1,7,0,2,1
2018/11/1 6:52,4924,0,11,0,1,0
2018/11/1 6:52,4924,0,11,1,0,0
2018/11/1 6:52,4937,1,6,0,0,0
2018/11/1 6:52,4937,1,6,1,0,0
2018/11/1 6:53,4921,0,5,0,4,0
2018/11/1 6:53,4913,0,15,0,5,1
2018/11/1 6:53,4913,0,15,1,0,12
2018/11/1 6:53,4921,0,5,1,0,1
2018/11/1 6:53,4928,1,20,0,0,0
2018/11/1 6:53,4909,1,1,0,36,0
2018/11/1 6:53,4919,1,23,0,0,0
2018/11/1 6:53,4911,1,18,0,0,0
2018/11/1 6:53,4911,1,18,1,0,1
2018/11/1 6:53,4909,1,1,1,0,0
2018/11/1 6:53,4919,1,23,1,0,3
2018/11/1 6:53,4914,1,14,0,0,0
2018/11/1 6:53,4914,1,14,1,0,4
2018/11/1 6:53,4914,1,15,0,1,0
2018/11/1 6:53,4933,0,23,0,0,0
2018/11/1 6:53,4928,1,21,0,0,0
2018/11/1 6:53,4929,0,21,0,4,0
2018/11/1 6:53,4929,0,21,1,0,0
2018/11/1 6:54,4910,0,7,0,2,0
2018/11/1 6:54,4933,0,23,1,0,5
2018/11/1 6:54,4928,1,21,1,0,1
2018/11/1 6:54,4921,0,6,0,0,0
2018/11/1 6:54,4921,0,6,1,0,0
2018/11/1 6:54,4924,0,12,0,2,0
2018/11/1 6:54,4924,0,12,1,0,0
2018/11/1 6:54,4934,1,8,0,0,0
2018/11/1 6:54,4938,1,4,0,13,0
2018/11/1 6:54,4923,1,8,0,0,0
2018/11/1 6:54,4938,1,4,1,0,5
2018/11/1 6:54,4923,1,8,1,0,2
2018/11/1 6:54,4911,1,19,0,0,0
2018/11/1 6:54,4911,1,19,1,0,1
2018/11/1 6:54,4913,0,16,0,7,0
2018/11/1 6:54,4930,0,9,0,8,0
2018/11/1 6:54,4916,0,3,0,3,1
2018/11/1 6:54,4937,1,7,0,0,0
2018/11/1 6:54,4916,0,3,1,0,0
2018/11/1 6:54,4937,1,7,1,0,8
2018/11/1 6:55,4909,1,2,0,5,0
2018/11/1 6:55,4909,1,2,1,0,1
2018/11/1 6:55,4923,1,9,0,0,0
2018/11/1 6:55,4910,0,8,0,0,0
2018/11/1 6:55,4910,0,8,1,0,5
2018/11/1 6:55,4934,1,9,0,4,0
2018/11/1 6:55,4934,1,9,1,0,0
2018/11/1 6:55,4913,0,17,0,1,0
2018/11/1 6:55,4938,1,5,0,0,0
2018/11/1 6:55,4938,1,5,1,0,1
2018/11/1 6:56,4914,1,16,0,2,1
2018/11/1 6:56,4914,1,16,1,0,6
2018/11/1 6:56,4929,0,22,0,1,0
2018/11/1 6:56,4929,0,22,1,0,0
2018/11/1 6:56,4928,1,22,0,0,0
2018/11/1 6:56,4923,1,10,0,1,0
2018/11/1 6:56,4921,0,7,1,0,3
2018/11/1 6:56,4938,1,6,0,0,0
2018/11/1 6:56,4938,1,6,1,0,2
2018/11/1 6:56,4911,1,20,0,0,0
2018/11/1 6:56,4911,1,20,1,0,2
2018/11/1 6:56,4916,0,4,0,6,0
2018/11/1 6:56,4916,0,4,1,0,4
2018/11/1 6:56,4924,0,13,0,2,0
2018/11/1 6:56,4924,0,13,1,0,0
2018/11/1 6:56,4937,1,8,0,0,0
2018/11/1 6:56,4937,1,8,1,0,1
2018/11/1 6:57,4909,1,3,0,19,1
2018/11/1 6:57,4912,1,1,0,21,2
2018/11/1 6:57,4912,1,1,1,0,0
2018/11/1 6:57,4911,1,21,0,0,0
2018/11/1 6:57,4934,1,10,0,0,0
2018/11/1 6:57,4911,1,21,1,0,2
2018/11/1 6:57,4934,1,10,1,0,0
2018/11/1 6:57,4937,1,9,0,0,0
2018/11/1 6:57,4937,1,9,1,0,0
2018/11/1 6:58,4928,1,23,0,0,0
2018/11/1 6:58,4910,0,9,0,2,1
2018/11/1 6:58,4924,0,14,0,0,0
2018/11/1 6:58,4928,1,23,1,0,8
2018/11/1 6:58,4918,0,1,0,21,0
2018/11/1 6:58,4916,0,5,0,3,1
2018/11/1 6:58,4918,0,1,1,0,0
2018/11/1 6:58,4913,0,18,0,8,0
2018/11/1 6:58,4916,0,5,1,0,0
2018/11/1 6:58,4930,0,10,0,5,0
2018/11/1 6:58,4930,0,10,1,0,3
2018/11/1 6:58,4913,0,18,1,0,9
2018/11/1 6:58,4929,0,23,0,0,0
2018/11/1 6:58,4923,1,11,0,0,0
2018/11/1 6:58,4937,1,10,0,0,0
2018/11/1 6:58,4937,1,10,1,0,2
2018/11/1 6:58,4921,0,8,0,5,2
2018/11/1 6:58,4921,0,8,1,0,0
2018/11/1 6:59,4912,1,2,0,0,0
2018/11/1 6:59,4912,1,2,1,0,1
2018/11/1 6:59,4914,1,17,0,1,1
2018/11/1 6:59,4934,1,11,0,1,0
2018/11/1 6:59,4914,1,17,1,0,3
2018/11/1 6:59,4909,1,4,0,11,0
2018/11/1 6:59,4934,1,11,1,0,0
2018/11/1 6:59,4913,0,19,0,3,0
2018/11/1 6:59,4918,0,2,0,6,0
2018/11/1 6:59,4913,0,19,1,0,3
2018/11/1 6:59,4930,0,11,0,2,0
2018/11/1 6:59,4930,0,11,1,0,3
2018/11/1 6:59,4916,0,6,0,0,0
2018/11/1 6:59,4916,0,6,1,0,0
2018/11/1 6:59,4929,1,1,0,0,0
2018/11/1 6:59,4929,1,1,1,0,0
2018/11/1 6:59,4924,0,15,0,1,1
2018/11/1 6:59,4938,1,7,0,8,0
2018/11/1 6:59,4938,1,7,1,0,4
2018/11/1 6:59,4929,1,1,0,0,11
2018/11/1 6:59,4923,1,12,0,9,0
2018/11/1 6:59,4923,1,12,1,0,2
2018/11/1 7:00,4934,1,12,0,0,0
2018/11/1 7:00,4934,1,12,1,0,0
2018/11/1 7:00,4920,0,1,0,12,0
2018/11/1 7:00,4920,0,1,1,0,0
2018/11/1 7:00,4909,1,5,0,0,0
2018/11/1 7:00,4929,1,1,0,0,0
2018/11/1 7:00,4910,0,10,0,1,0
2018/11/1 7:00,4911,1,22,0,1,0
2018/11/1 7:00,4911,1,22,1,0,11
2018/11/1 7:00,4914,1,18,0,1,0
2018/11/1 7:00,4914,1,18,1,1,7
2018/11/1 7:00,4921,0,9,0,10,2
2018/11/1 7:00,4920,0,1,0,9,1
2018/11/1 7:00,4920,0,1,1,0,0
2018/11/1 7:00,4912,1,3,0,21,0
2018/11/1 7:00,4929,1,1,0,0,0
2018/11/1 7:00,4920,0,1,0,9,1
2018/11/1 7:01,4937,1,11,0,0,0
2018/11/1 7:01,4937,1,11,1,0,0
2018/11/1 7:01,4933,1,1,0,20,7
2018/11/1 7:01,4909,1,6,0,0,0
2018/11/1 7:01,4909,1,6,1,2,20
2018/11/1 7:01,4930,0,12,0,5,0
2018/11/1 7:01,4930,0,12,1,1,5
2018/11/1 7:01,4929,1,1,0,0,1
2018/11/1 7:01,4929,1,1,1,0,0
2018/11/1 7:01,4910,0,11,0,1,0
2018/11/1 7:01,4910,0,11,1,0,4
2018/11/1 7:01,4916,0,7,0,0,0
2018/11/1 7:01,4916,0,7,1,0,4
2018/11/1 7:01,4918,0,3,0,6,0
2018/11/1 7:01,4918,0,3,1,0,0
2018/11/1 7:01,4913,0,21,0,5,0
2018/11/1 7:01,4913,0,21,1,0,2
2018/11/1 7:01,4938,1,8,0,0,0
2018/11/1 7:01,4923,1,13,0,8,0
2018/11/1 7:01,4924,0,16,0,15,0
2018/11/1 7:01,4938,1,8,1,0,0
2018/11/1 7:01,4934,1,13,0,5,0
2018/11/1 7:01,4923,1,13,1,0,4
2018/11/1 7:02,4934,1,13,1,0,0
2018/11/1 7:02,4924,0,16,1,0,17
2018/11/1 7:02,4937,1,12,0,0,0
2018/11/1 7:02,4937,1,12,1,0,0
2018/11/1 7:02,4920,0,2,0,4,0
2018/11/1 7:02,4920,0,2,1,0,0
2018/11/1 7:02,4914,1,19,0,0,0
2018/11/1 7:02,4914,1,19,1,0,1
2018/11/1 7:02,4930,0,13,0,2,0
2018/11/1 7:02,4910,0,12,0,2,1
2018/11/1 7:02,4911,1,23,0,0,0
2018/11/1 7:02,4911,1,23,1,0,3
2018/11/1 7:02,4910,0,12,1,0,0
2018/11/1 7:02,4933,1,2,0,2,0
2018/11/1 7:03,4938,1,9,0,3,1
2018/11/1 7:03,4938,1,9,1,0,0
2018/11/1 7:03,4933,1,2,1,0,13
2018/11/1 7:03,4934,1,14,0,0,0
2018/11/1 7:03,4934,1,14,1,0,0
2018/11/1 7:03,4923,1,14,0,4,0
2018/11/1 7:03,4923,1,14,1,0,4
2018/11/1 7:03,4921,0,10,1,0,0
2018/11/1 7:03,4916,0,8,0,9,0
2018/11/1 7:03,4916,0,8,1,0,1
2018/11/1 7:03,4918,0,4,0,7,1
2018/11/1 7:03,4918,0,4,1,0,1
2018/11/1 7:03,4914,1,20,0,0,0
2018/11/1 7:03,4914,1,20,1,0,3
